Entity,Code,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
United Kingdom,GBR,183.82895,187.71666,138.84616,178.66072,159.7027,219.62903,240.95181,270.19232,269.66666,198.8077,212.98166,288.57144,172.45,393.15833,359.54544
United States,USA,472.84006,375.47388,356.24612,448.32202,375.70322,439.88354,433.38666,353.75095,522.6853,462.09235,410.02148,266.93674,455.93948,273.18414,262.54443
United States Minor Outlying Islands,UMI,175.0,,,,,,,,,,,,,,
United States Virgin Islands,VIR,,,,,,,186.0,,,,,,,,
Uruguay,URY,256.3846,240.5845,223.08537,240.78767,222.26596,244.4,230.27559,248.91936,263.4862,424.2093,257.4,286.77194,289.825,253.46153,275.83722
Uzbekistan,UZB,259.9863,237.79463,283.7992,275.73874,230.23137,222.96483,270.31464,270.93802,262.1889,307.1781,257.11465,254.50206,203.16551,236.39502,288.43872
Vanuatu,VUT,299.85184,322.61856,342.09677,348.35898,429.73334,348.73468,378.38373,347.64706,338.09375,229.20589,258.1613,303.36365,226.59259,198.33333,1336.3
Venezuela,VEN,341.0831,372.2418,363.97083,345.4359,394.0271,328.79257,352.7478,390.6857,389.93973,322.97455,366.25714,316.14804,426.7029,304.98526,381.07358
Vietnam,VNM,320.1232,299.84894,315.53177,306.02286,313.97574,291.3281,269.1408,284.30908,286.48282,259.8207,236.60997,268.5793,270.2269,275.4199,418.72763
Western Sahara,ESH,,,,,,,145.0,,262.0,,,,,,
World,OWID_WRL,478.6525,420.74933,428.3987,436.3481,428.57962,443.6784,406.18884,444.80908,427.5797,430.4478,416.98285,452.01218,461.31747,486.98013,505.90045
Yemen,YEM,266.0,194.0,238.625,166.0,,172.33333,161.83333,223.0,180.0,192.44444,195.0,243.33333,18.0,305.0909,393.33334
Zambia,ZMB,400.57764,404.1929,397.70346,412.7748,407.7388,413.10477,375.09564,409.9643,415.22244,396.53568,403.1259,389.1865,398.06073,465.1611,342.08035
Zimbabwe,ZWE,435.1982,397.0768,408.1266,443.6633,403.21277,422.36752,364.92032,409.69287,355.25415,363.70297,453.0072,358.25348,344.38022,398.80966,360.55713
