Entity,Code,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
Europe,OWID_EUR,567.0983,422.3185,399.9703,394.52298,532.92487,386.76166,447.18753,471.3156,471.79517,655.2013,426.50858,531.6247,610.89795,509.35208,438.07498
European Union (27),OWID_EU27,306.49103,279.59262,243.13678,270.08118,321.41418,353.54916,205.6589,262.61996,284.64633,353.6085,355.0063,391.3434,385.38165,519.1477,331.13602
Falkland Islands,FLK,524.2778,253.0,260.0,333.6,288.15384,225.55556,358.5,136.0,142.0,231.16667,221.78947,172.66667,134.0,,181.0
Fiji,FJI,248.27942,255.93965,275.08524,295.52942,263.34885,271.2686,237.97159,243.6909,227.16667,269.54166,256.92426,278.35715,282.11,286.63635,194.0
Finland,FIN,121.57143,150.92857,125.25,130.25,126.14286,139.4,170.41176,110.5,156.625,255.0,111.0,128.75,114.23077,149.0625,220.0
France,FRA,256.70892,179.59421,241.84024,230.27777,256.7265,300.31274,173.4375,282.86545,243.13954,268.971,455.94788,264.93182,197.68,274.15268,427.87952
French Guiana,GUF,291.35043,254.31482,253.01724,307.21698,315.06616,250.92982,230.60484,260.09677,300.12857,222.03334,256.56757,267.88818,284.1236,332.60306,330.44446
Gabon,GAB,346.1532,310.09442,311.99292,299.4439,298.23956,305.8576,288.6126,295.90436,282.153,282.7304,288.12134,306.30353,308.87177,311.63266,279.76135
Gambia,GMB,424.91162,418.94574,385.8125,438.84677,414.30234,412.92096,458.40677,412.81094,428.28476,384.09616,451.51987,428.75916,453.94904,435.0597,604.49304
Georgia,GEO,254.39166,279.04166,247.64407,345.1087,289.2639,301.34482,291.94,394.08975,300.81482,330.18692,283.69513,279.77777,288.58572,320.84656,331.6
Germany,DEU,236.0,146.93333,146.11111,241.5,162.91667,137.875,226.71428,230.62962,145.61111,135.42857,200.92308,225.25,206.24243,226.68657,213.91667
Ghana,GHA,396.07407,392.6507,399.1874,401.84628,413.14456,407.94125,408.4856,414.36172,408.68646,391.12714,422.19748,405.31143,422.48984,491.82678,654.9146
Greece,GRC,418.29462,298.2682,303.5318,305.3552,400.36072,361.3759,267.64462,289.33945,319.36697,1414.0416,392.12613,1762.4479,555.5106,465.34067,369.2381
Greenland,GRL,,,139.0,506.0,105.0,748.0,,644.0,118.75,,,,,,89.0
Grenada,GRD,,,,,,,,,,,,,,,207.0
Guadeloupe,GLP,,,195.5,,,,188.0,,,,,185.0,,,211.0
Guam,GUM,351.0,290.0,579.5,250.25,244.75,336.0,193.0,277.75,139.0,247.5,359.0,,228.33333,234.0,
Guatemala,GTM,298.74573,314.08966,285.10684,306.20844,310.18405,317.50082,271.49734,300.87112,335.28702,281.21054,268.13885,239.25508,387.93124,252.50421,249.9373
Guinea,GIN,402.8552,377.39847,401.874,389.45798,394.11142,389.9165,391.02933,374.67072,366.27298,364.5427,357.09656,357.42755,367.9993,364.94034,502.00546
Guinea-Bissau,GNB,351.34244,344.6112,364.21744,376.96564,362.27026,342.4501,329.37418,351.63684,346.9556,323.0454,329.3798,312.55212,353.31744,324.4904,482.9965
Guyana,GUY,308.56403,284.68307,299.46994,315.35,358.39645,288.4066,219.35796,318.4734,289.07938,254.93259,261.5819,279.62653,437.9347,319.74292,312.94492
Haiti,HTI,246.90625,260.24417,231.02272,235.89854,225.69698,221.60869,252.20512,224.17647,218.51546,254.93443,229.20409,240.6033,219.21312,178.33566,169.69812
Honduras,HND,271.26056,318.1618,319.0119,367.0153,329.63126,325.61267,349.62036,354.70377,443.82748,264.07306,327.98544,304.2158,372.57758,268.59937,284.548
Hong Kong,HKG,,189.0,434.5,162.0,851.0,391.0,285.66666,208.0,207.0,624.5,164.0,,195.0,827.0,
