Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,SEIFA_IRSD,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description8,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,957.8,805,540.1,515.9,747.1,835,273.5,101.1,,748.2
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,4742,5003,2436,990,945,343,355,216,,15030
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,752,775,195,0,35,0,8,3,,1768
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,12,453,28,151,0,0,0,14,,658
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,5506,6231,2659,1141,980,343,363,233,,17456
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,77.7,85.6,80.2,67.2,80.2,69.5,75.6,91,,79.9
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,68,94.9,51.3,41.8,54.6,61,81,94,,68.1
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1584,1047,657,558,242,151,117,23,,4379
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,7090,7278,3316,1699,1222,494,480,256,,21834
9A.4,2020-21,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,1591,974,956,..,na,..,,na
9A.4,2020-21,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,528,59,24,na,na,..,,na
9A.4,2020-21,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,398,92,69,na,..,na,,na
9A.4,2020-21,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,42,13,0,na,..,na,,na
9A.4,2020-21,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,..,19,3,0,na,..,na,,na
9A.4,2020-21,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,48,46,71,..,na,..,,na
9A.4,2020-21,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,53,25,14,na,na,..,,na
9A.4,2020-21,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,57,49,33,na,..,na,,na
9A.4,2020-21,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,58,14,0,na,..,na,,na
9A.4,2020-21,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,..,36,5,0,na,..,na,,na
9A.4,2020-21,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,752,233,507,76,94,27,23,17,,1729
9A.4,2020-21,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1774,1192,1176,326,293,85,112,85,,5043
9A.4,2020-21,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1978,980,1193,356,347,104,122,65,,5145
9A.4,2020-21,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1854,794,1202,331,307,115,74,38,,4715
9A.4,2020-21,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,522,431,312,88,160,12,41,8,,1574
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6880,3630,4390,1176,1201,343,372,213,,18205
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.2,na,4.2,3.7,na,2.9,5.2,na,,1.4
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,5.3,9.9,6.5,3.6,3.1,2.9,5.1,3.3,,6.2
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,73430,29633,12796,12103,10682,4011,1277,290,,144222
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,8336,24508,17471,2483,2895,915,0,0,,56608
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,81766,54141,30267,14586,13577,4926,1277,290,,200830
9A.4,2020-21,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,1010.2,824.4,583.8,534.6,756.6,876.7,285.3,117,,783.6
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,4575,5395,2359,999,950,322,346,213,,15159
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,840,652,198,1,24,1,4,2,,1722
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,14,408,33,150,0,0,0,18,,623
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,5429,6455,2590,1150,974,323,350,233,,17504
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,78.8,78.2,79.3,68.6,80.8,70.3,74.8,90.6,,77.9
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,67.1,98,50.5,42.8,54.8,58.4,79.5,94.5,,68.6
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1459,1802,676,526,231,137,118,24,,4972
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,6888,8257,3266,1676,1205,460,468,257,,22477
9A.4,2019-20,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,1496,985,955,..,na,..,,na
9A.4,2019-20,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,485,56,25,na,na,..,,na
9A.4,2019-20,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,388,94,67,na,..,na,,na
9A.4,2019-20,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,39,13,0,na,..,na,,na
9A.4,2019-20,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,..,18,3,0,na,..,na,,na
9A.4,2019-20,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,45,47,72,..,na,..,,na
9A.4,2019-20,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,49,24,14,na,na,..,,na
9A.4,2019-20,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,56,50,32,na,..,na,,na
9A.4,2019-20,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,54,14,0,na,..,na,,na
9A.4,2019-20,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,..,34,4,0,na,..,na,,na
9A.4,2019-20,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,764,286,522,85,109,16,14,23,,1819
9A.4,2019-20,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1746,1178,1139,327,281,70,101,78,,4919
9A.4,2019-20,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,2039,887,1210,363,352,112,118,59,,5139
9A.4,2019-20,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1797,823,1180,330,319,113,83,43,,4688
9A.4,2019-20,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,481,341,292,79,133,13,36,12,,1387
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6827,3515,4343,1183,1194,324,352,215,,17952
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.3,na,4.1,3.8,na,2.2,4.3,na,,1.4
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,6,2.3,6.9,3.7,2.3,2.2,3.4,2.8,,5
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,73272,32679,12650,12076,10505,4164,1234,268,,146848
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,8315,22030,18454,2481,2947,936,0,0,,55163
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,81587,54709,31104,14557,13452,5100,1234,268,,202011
9A.4,2019-20,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,1008.7,830.2,606.3,541.4,756.2,921.7,280.3,108.8,,791.6
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,4581,4264,2297,996,966,317,319,208,,13948
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,750,654,203,0,24,1,7,1,,1640
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,14,0,31,147,na,0,0,19,,211
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,5345,4918,2531,1143,990,318,326,228,,15799
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,79,73.5,78.1,70.9,81.8,72.8,74.3,91.6,,76.5
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,66.8,75.9,50.2,43.4,56.4,58.5,75.7,92.7,,62.8
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1419,1773,709,470,221,119,113,21,,4845
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,6764,6691,3240,1614,1211,437,439,249,,20645
9A.4,2018-19,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,1450,983,946,..,na,..,,na
9A.4,2018-19,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,609,53,23,na,na,..,,na
9A.4,2018-19,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,367,93,76,na,..,na,,na
9A.4,2018-19,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,38,12,0,na,..,na,,na
9A.4,2018-19,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,..,19,2,0,na,..,na,,na
9A.4,2018-19,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,45,48,72,..,na,..,,na
9A.4,2018-19,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,63,23,13,na,na,..,,na
9A.4,2018-19,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,54,50,37,na,..,na,,na
9A.4,2018-19,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,53,14,0,na,..,na,,na
9A.4,2018-19,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,..,35,3,0,na,..,na,,na
9A.4,2018-19,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,801,266,533,78,123,10,5,41,,1857
9A.4,2018-19,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1722,1053,1093,335,289,75,89,83,,4739
9A.4,2018-19,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,2105,826,1264,360,344,112,117,75,,5202
9A.4,2018-19,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1734,922,1165,330,325,107,85,45,,4713
9A.4,2018-19,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,462,272,283,67,127,14,30,14,,1269
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6823,3339,4338,1169,1208,318,326,258,,17779
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.3,na,4,3.9,na,1.3,3.7,na,,1.5
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,6.6,3.4,7.4,3.8,1.7,1.3,4.3,2.7,,5.5
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,68533,34483,13419,19991,10181,4248,1198,234,,152287
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,7947,20362,20206,2354,2968,765,0,0,,54602
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,76480,54845,33625,22345,13149,5013,1198,234,,206889
9A.4,2018-19,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,955.6,846.4,666.3,847.6,748.9,923.3,278.1,95.2,,822.7
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,4604,4181,2245,1020,934,306,348,243,,13880
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,748,623,204,0,22,1,0,1,,1599
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,12,0,41,143,0,0,0,0,,196
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,5364,4804,2491,1163,956,307,348,244,,15675
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,79.2,74.1,79.4,71.9,81.8,71.7,76.1,85.3,,77
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,67.9,75.6,50.2,44.7,55.1,57.7,82.7,98.8,,63.3
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1406,1683,645,453,212,121,109,42,,4672
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,6770,6487,3136,1616,1168,428,457,286,,20347
9A.4,2017-18,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,1391,996,na,..,na,..,,na
9A.4,2017-18,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,558,58,na,na,na,..,,na
9A.4,2017-18,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,364,97,na,na,..,na,,na
9A.4,2017-18,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,41,11,na,na,..,na,,na
9A.4,2017-18,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,..,22,1,na,na,..,na,,na
9A.4,2017-18,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,44,49,na,..,na,..,,na
9A.4,2017-18,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,58,26,na,na,na,..,,na
9A.4,2017-18,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,53,52,na,na,..,na,,na
9A.4,2017-18,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,57,12,na,na,..,na,,na
9A.4,2017-18,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,..,40,1,na,na,..,na,,na
9A.4,2017-18,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,856,277,553,92,64,10,15,41,,1907
9A.4,2017-18,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1690,997,1068,328,204,70,92,82,,4531
9A.4,2017-18,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,2175,788,1302,361,287,121,110,67,,5210
9A.4,2017-18,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1709,945,1141,328,317,95,105,43,,4682
9A.4,2017-18,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,422,247,257,66,85,11,26,12,,1126
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6851,3254,4321,1174,956,307,348,245,,17455
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.2,na,3.5,5.2,na,3.3,5,na,,1.5
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,6.1,2.2,6.6,5.1,2.9,3.3,5.5,5.3,,5.2
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,70278,34925,14213,20154,10286,4228,1160,637,,155881
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,7318,20533,21820,2410,2989,918,0,0,,55988
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,77596,55458,36033,22564,13275,5146,1160,637,,211869
9A.4,2017-18,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,982.1,872.2,726.3,867.9,764.8,968.1,276,258,,855.7
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,4595,3947,2276,1017,885,301,345,221,,13587
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,702,592,203,0,22,0,0,12,,1531
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,12,62,58,141,0,0,0,0,,273
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,5309,4601,2537,1159,907,301,345,233,,15392
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,80,73.1,80.9,71.8,82,71.5,76.8,86.6,,77.2
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,68.1,73.8,52,45.1,52.7,57.7,84.4,94.7,,63.1
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1329,1694,598,455,199,120,104,36,,4535
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,6638,6295,3135,1614,1105,421,449,269,,19926
9A.4,2016-17,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,1405,992,na,..,na,..,,na
9A.4,2016-17,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,557,56,na,na,na,..,,na
9A.4,2016-17,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,383,100,na,na,..,na,,na
9A.4,2016-17,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,38,9,na,na,..,na,,na
9A.4,2016-17,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,..,23,2,na,na,..,na,,na
9A.4,2016-17,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,46,50,na,..,na,..,,na
9A.4,2016-17,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,58,25,na,na,na,..,,na
