longitude,latitude,year,count,avg_frp,total_frp,pct_night,pct_high_intensity
122.25,-33.25,2020,48,109.8,5268.6,0.0,6.2
122.25,-32.75,2020,226,148.4,33547.2,1.8,21.2
122.25,-32.25,2020,13,123.7,1608.5,0.0,0.0
122.25,-31.75,2020,2,76.1,152.3,0.0,0.0
122.25,-19.75,2020,2,93.4,186.8,0.0,0.0
122.25,-19.25,2020,13,83.8,1090.0,0.0,0.0
122.25,-17.25,2020,8,89.2,713.3,0.0,0.0
122.75,-33.75,2020,3,81.2,243.6,0.0,0.0
122.75,-28.25,2020,2,78.2,156.4,0.0,0.0
122.75,-23.75,2020,1,54.9,54.9,0.0,0.0
122.75,-22.75,2020,2,122.2,244.4,0.0,0.0
122.75,-19.75,2020,2,67.0,133.9,0.0,0.0
122.75,-17.75,2020,27,123.7,3339.3,0.0,11.1
122.75,-17.25,2020,33,101.0,3333.8,0.0,6.1
122.75,-16.75,2020,3,84.3,252.9,0.0,0.0
123.25,-33.25,2020,6,119.9,719.3,0.0,0.0
123.25,-32.75,2020,179,144.3,25837.9,0.0,25.1
123.25,-32.25,2020,208,98.9,20580.9,0.0,5.3
123.25,-30.75,2020,26,89.8,2333.6,0.0,0.0
123.25,-30.25,2020,3,95.4,286.3,0.0,0.0
123.25,-29.25,2020,3,80.6,241.7,0.0,0.0
123.25,-27.75,2020,1,213.2,213.2,0.0,100.0
123.25,-27.25,2020,12,84.9,1018.3,0.0,0.0
123.25,-17.75,2020,21,100.0,2099.7,0.0,4.8
123.25,-17.25,2020,9,73.4,660.4,11.1,0.0
123.25,-16.75,2020,1,81.6,81.6,0.0,0.0
123.75,-33.25,2020,35,99.1,3469.7,0.0,0.0
123.75,-32.75,2020,80,129.0,10322.5,0.0,10.0
123.75,-32.25,2020,46,120.0,5518.0,0.0,10.9
123.75,-31.75,2020,5,86.8,434.1,0.0,0.0
123.75,-31.25,2020,15,67.6,1013.4,0.0,0.0
123.75,-30.75,2020,37,98.8,3655.3,0.0,2.7
123.75,-29.75,2020,2,85.4,170.8,50.0,0.0
123.75,-27.75,2020,4,100.3,401.2,0.0,0.0
123.75,-27.25,2020,19,106.6,2025.3,0.0,0.0
123.75,-26.75,2020,1,67.8,67.8,0.0,0.0
123.75,-26.25,2020,2,76.1,152.2,0.0,0.0
123.75,-20.25,2020,1,60.3,60.3,0.0,0.0
123.75,-17.75,2020,2,74.4,148.9,0.0,0.0
123.75,-17.25,2020,1,70.7,70.7,0.0,0.0
123.75,-16.25,2020,1,50.9,50.9,0.0,0.0
124.25,-32.75,2020,314,110.2,34598.8,0.0,9.9
124.25,-32.25,2020,1,54.9,54.9,0.0,0.0
124.25,-29.25,2020,6,113.9,683.5,0.0,0.0
124.25,-28.75,2020,1,296.0,296.0,0.0,100.0
124.25,-18.75,2020,7,138.9,972.3,0.0,14.3
124.25,-17.75,2020,3,68.1,204.4,0.0,0.0
124.25,-17.25,2020,3,76.5,229.5,0.0,0.0
124.25,-16.75,2020,32,79.5,2545.2,0.0,0.0
124.25,-15.25,2020,4,100.2,401.0,0.0,0.0
124.75,-29.75,2020,28,130.8,3661.0,0.0,0.0
124.75,-29.25,2020,1,75.2,75.2,0.0,0.0
124.75,-28.75,2020,1,76.4,76.4,0.0,0.0
124.75,-28.25,2020,22,106.1,2333.2,0.0,4.5
124.75,-19.75,2020,1,167.6,167.6,0.0,0.0
124.75,-18.25,2020,2,93.8,187.5,0.0,0.0
124.75,-17.75,2020,6,83.2,499.4,0.0,0.0
124.75,-16.75,2020,3,69.7,209.1,0.0,0.0
124.75,-16.25,2020,2,137.0,274.1,0.0,0.0
124.75,-15.75,2020,8,92.1,737.0,0.0,0.0
124.75,-15.25,2020,12,138.2,1659.0,0.0,25.0
125.25,-28.75,2020,2,81.8,163.6,0.0,0.0
125.25,-27.75,2020,2,89.4,178.9,0.0,0.0
125.25,-25.75,2020,1,245.3,245.3,0.0,100.0
125.25,-21.25,2020,10,125.6,1256.2,0.0,0.0
125.25,-18.75,2020,1,63.3,63.3,0.0,0.0
125.25,-18.25,2020,4,80.2,321.0,0.0,0.0
125.25,-17.75,2020,7,95.0,665.1,0.0,0.0
125.25,-16.75,2020,1,50.8,50.8,0.0,0.0
125.25,-16.25,2020,1,53.3,53.3,0.0,0.0
125.25,-14.75,2020,4,88.1,352.3,0.0,0.0
125.75,-28.25,2020,12,104.1,1249.5,0.0,8.3
125.75,-15.25,2020,1,70.3,70.3,0.0,0.0
125.75,-14.75,2020,12,71.6,859.1,0.0,0.0
126.25,-18.75,2020,2,140.7,281.4,0.0,0.0
126.25,-17.75,2020,4,78.5,314.1,0.0,0.0
126.25,-17.25,2020,2,79.0,157.9,0.0,0.0
126.25,-16.75,2020,3,65.4,196.2,0.0,0.0
126.25,-16.25,2020,3,59.2,177.5,0.0,0.0
126.25,-15.75,2020,6,73.6,441.6,0.0,0.0
126.25,-15.25,2020,5,81.9,409.7,0.0,0.0
126.25,-14.75,2020,3,93.5,280.5,0.0,0.0
126.25,-14.25,2020,4,77.9,311.6,0.0,0.0
126.75,-18.75,2020,1,81.5,81.5,100.0,0.0
126.75,-18.25,2020,1,127.2,127.2,0.0,0.0
126.75,-17.75,2020,4,85.7,342.7,0.0,0.0
126.75,-17.25,2020,1,116.4,116.4,0.0,0.0
126.75,-15.75,2020,4,89.8,359.0,0.0,0.0
126.75,-14.75,2020,3,92.8,278.5,0.0,0.0
126.75,-14.25,2020,6,125.1,750.4,0.0,0.0
127.25,-16.75,2020,3,83.1,249.3,0.0,0.0
127.25,-16.25,2020,5,62.9,314.4,0.0,0.0
127.25,-15.75,2020,2,108.5,217.0,0.0,0.0
127.25,-14.25,2020,38,91.9,3490.8,0.0,2.6
127.75,-29.25,2020,17,156.2,2656.1,0.0,17.6
127.75,-28.75,2020,1,130.1,130.1,0.0,0.0
127.75,-15.25,2020,2,144.9,289.7,0.0,0.0
127.75,-14.75,2020,2,75.7,151.5,0.0,0.0
127.75,-14.25,2020,3,116.4,349.1,0.0,0.0
128.25,-29.25,2020,7,86.4,604.7,0.0,0.0
128.25,-28.75,2020,3,62.2,186.8,0.0,0.0
128.25,-28.25,2020,5,73.3,366.5,0.0,0.0
128.25,-27.75,2020,16,104.8,1677.2,0.0,0.0
128.25,-25.75,2020,2,57.4,114.8,0.0,0.0
128.25,-22.75,2020,1,103.8,103.8,0.0,0.0
128.25,-22.25,2020,3,86.8,260.3,0.0,0.0
128.25,-17.75,2020,5,85.3,426.7,0.0,0.0
128.25,-16.75,2020,1,57.8,57.8,0.0,0.0
128.25,-16.25,2020,1,55.5,55.5,0.0,0.0
128.25,-15.75,2020,8,93.6,748.6,0.0,0.0
128.25,-15.25,2020,9,69.7,627.5,0.0,0.0
128.25,-14.75,2020,4,107.8,431.1,0.0,0.0
128.75,-29.25,2020,9,68.8,618.9,0.0,0.0
128.75,-28.75,2020,12,106.9,1282.9,0.0,16.7
128.75,-27.25,2020,5,103.2,516.0,0.0,0.0
128.75,-17.25,2020,4,109.3,437.1,0.0,0.0
128.75,-16.75,2020,5,81.3,406.5,0.0,0.0
128.75,-15.75,2020,2,62.5,125.0,0.0,0.0
129.25,-28.75,2020,1,78.7,78.7,0.0,0.0
129.25,-28.25,2020,2,55.5,111.0,0.0,0.0
129.25,-24.25,2020,2,90.6,181.3,0.0,0.0
129.25,-15.75,2020,1,75.5,75.5,0.0,0.0
129.75,-29.25,2020,14,93.4,1307.4,0.0,0.0
129.75,-28.25,2020,28,123.5,3457.9,0.0,0.0
129.75,-24.25,2020,1,84.6,84.6,0.0,0.0
129.75,-16.75,2020,4,139.5,558.1,0.0,0.0
129.75,-15.25,2020,1,198.5,198.5,0.0,0.0
129.75,-14.25,2020,23,91.9,2114.7,0.0,0.0
129.75,-13.75,2020,18,92.6,1666.3,0.0,0.0
130.25,-29.25,2020,2,51.0,102.0,0.0,0.0
130.25,-27.75,2020,1,88.5,88.5,0.0,0.0
130.25,-24.75,2020,8,75.8,606.7,0.0,0.0
130.25,-16.25,2020,2,55.2,110.4,0.0,0.0
130.25,-15.25,2020,4,101.1,404.2,0.0,0.0
130.25,-14.25,2020,17,85.3,1449.4,0.0,0.0
130.25,-13.75,2020,29,119.1,3453.6,0.0,3.4
130.25,-13.25,2020,3,75.8,227.3,0.0,0.0
130.25,-12.75,2020,3,84.8,254.5,0.0,0.0
130.25,-11.75,2020,19,98.9,1878.8,0.0,10.5
130.25,-11.25,2020,5,118.2,590.8,0.0,0.0
130.75,-19.75,2020,1,56.6,56.6,0.0,0.0
130.75,-14.75,2020,1,61.0,61.0,0.0,0.0
130.75,-13.75,2020,4,74.4,297.7,25.0,0.0
130.75,-13.25,2020,6,103.3,619.8,0.0,16.7
130.75,-12.75,2020,9,90.7,816.0,0.0,11.1
130.75,-12.25,2020,1,68.6,68.6,0.0,0.0
130.75,-11.75,2020,11,93.2,1025.0,0.0,9.1
130.75,-11.25,2020,2,61.7,123.4,0.0,0.0
131.25,-18.75,2020,1,85.5,85.5,0.0,0.0
131.25,-14.25,2020,24,85.6,2053.6,0.0,4.2
131.25,-13.75,2020,29,116.6,3381.4,6.9,6.9
131.25,-13.25,2020,7,84.0,588.0,0.0,0.0
131.25,-12.75,2020,17,80.5,1367.8,0.0,0.0
131.25,-12.25,2020,3,75.0,224.9,0.0,0.0
131.25,-11.75,2020,1,95.2,95.2,0.0,0.0
131.25,-11.25,2020,4,128.0,512.0,0.0,25.0
131.75,-27.25,2020,1,50.3,50.3,0.0,0.0
131.75,-14.75,2020,4,71.2,284.7,0.0,0.0
131.75,-14.25,2020,16,103.6,1658.0,0.0,12.5
131.75,-13.75,2020,8,74.5,596.2,0.0,0.0
131.75,-13.25,2020,18,89.9,1618.2,0.0,5.6
131.75,-12.75,2020,10,101.0,1009.8,0.0,0.0
132.25,-15.75,2020,1,50.7,50.7,0.0,0.0
132.25,-14.75,2020,4,92.7,370.6,0.0,0.0
132.25,-14.25,2020,7,124.1,868.4,0.0,0.0
132.25,-13.75,2020,19,80.8,1535.1,0.0,0.0
132.25,-13.25,2020,11,121.2,1332.9,0.0,0.0
132.25,-12.75,2020,3,79.8,239.5,0.0,0.0
132.25,-12.25,2020,1,99.4,99.4,0.0,0.0
132.25,-11.25,2020,14,77.4,1082.9,0.0,0.0
132.75,-31.75,2020,12,87.6,1051.0,33.3,0.0
