Entity,Code,Year,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2025,2026
Australia,AUS,42,21254860,37057732,20885980,17266250,14518221,23117924,32127792,25638424,16053359,25916676,28040378,20335360,44958852,33516808,
Australia,AUS,43,22927628,41169044,22066108,19096280,14815680,24405016,33734270,26701928,16682075,27127892,29687616,21316116,48517240,35725652,
Australia,AUS,44,25094796,43970244,23586380,20161706,15532110,25159906,35148344,29127300,17268444,28464788,31089640,22330368,51436908,38417340,
Australia,AUS,45,27057732,46685044,24270034,20723512,16186170,26233028,35301420,30866516,18429872,29347076,32813432,23506376,54345860,40032296,
Australia,AUS,46,28344616,47606490,24842028,21775256,17163574,26894416,35301420,31604678,20159628,31161952,33572900,23961780,56430284,40642624,
Australia,AUS,47,28967482,48155244,25091288,22454666,17604192,28000956,35301420,32218772,20861842,32404116,34187204,24259270,59411000,41658000,
Australia,AUS,48,29338788,48918550,25257442,22985200,18136740,29468350,35301420,33874090,21509146,33130668,34544892,24638714,61386676,42798210,
Australia,AUS,49,29738458,50903076,25612238,23628476,18442304,31335254,35301420,35277070,22334304,33461346,34898110,25052916,63362550,43653148,
Australia,AUS,50,30279566,51622376,26120356,24280600,18571492,33007524,35667856,36573548,22613616,33689856,35367800,25393736,64318804,44510304,
Australia,AUS,51,30656402,53134660,26254448,24791414,18663384,34307068,36207308,37620210,22765212,33857570,35788800,25839982,64729944,44922972,
Australia,AUS,52,31066002,54354840,26340776,24958528,18683630,36397800,36700170,37974830,22835256,33967664,35916156,26240098,65298350,45067704,
